,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
202,7124,1.0,0.0,0.0,0.0
203,8001,7.0,23.0,0.0,2.0
204,8002,14.0,137.0,0.0,5.0
205,8003,7.0,11.0,0.0,0.0
206,8004,2.0,3.0,0.0,0.0
207,8005,8.0,22.0,0.0,3.0
208,8006,10.0,10.0,0.0,0.0
209,8007,5.0,19.0,0.0,1.0
210,8008,1.0,3.0,0.0,0.0
211,8009,17.0,38.0,1.0,6.0
212,8010,9.0,15.0,0.0,2.0
213,8011,23.0,151.0,0.0,11.0
214,8012,0.0,4.0,0.0,0.0
215,8013,7.0,13.0,0.0,0.0
216,8014,0.0,0.0,0.0,0.0
217,8015,0.0,0.0,0.0,0.0
218,8016,1.0,0.0,0.0,0.0
219,8017,181.0,480.0,1.0,140.0
220,8018,3.0,5.0,0.0,1.0
