Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
3001,Comondú,2,5 to 9 years,2,Female,3454
3001,Comondú,3,10 to 14 years,1,Male,3687
3001,Comondú,3,10 to 14 years,2,Female,3534
3001,Comondú,4,15 to 19 years,1,Male,3514
3001,Comondú,4,15 to 19 years,2,Female,3275
3001,Comondú,5,20 to 24 years,1,Male,3270
3001,Comondú,5,20 to 24 years,2,Female,2913
3001,Comondú,6,25 to 29 years,1,Male,3179
3001,Comondú,6,25 to 29 years,2,Female,2873
3001,Comondú,7,30 to 34 years,1,Male,3044
3001,Comondú,7,30 to 34 years,2,Female,2928
3001,Comondú,8,35 to 39 years,1,Male,2914
3001,Comondú,8,35 to 39 years,2,Female,2882
3001,Comondú,9,40 to 44 years,1,Male,2873
3001,Comondú,9,40 to 44 years,2,Female,2849
3001,Comondú,10,45 to 49 years,1,Male,2939
3001,Comondú,10,45 to 49 years,2,Female,2943
3001,Comondú,11,50 to 54 years,1,Male,2693
3001,Comondú,11,50 to 54 years,2,Female,2776
3001,Comondú,12,55 to 59 years,1,Male,2211
3001,Comondú,12,55 to 59 years,2,Female,2346
3001,Comondú,13,60 to 64 years,1,Male,1767
3001,Comondú,13,60 to 64 years,2,Female,1837
3001,Comondú,14,65 or more years,1,Male,3821
3001,Comondú,14,65 or more years,2,Female,3939
3002,Mulegé,1,0 to 4 years,1,Male,3113
3002,Mulegé,1,0 to 4 years,2,Female,2912
3002,Mulegé,2,5 to 9 years,1,Male,2987
3002,Mulegé,2,5 to 9 years,2,Female,2906
3002,Mulegé,3,10 to 14 years,1,Male,2999
3002,Mulegé,3,10 to 14 years,2,Female,2944
3002,Mulegé,4,15 to 19 years,1,Male,3089
3002,Mulegé,4,15 to 19 years,2,Female,2799
3002,Mulegé,5,20 to 24 years,1,Male,3079
3002,Mulegé,5,20 to 24 years,2,Female,2547
3002,Mulegé,6,25 to 29 years,1,Male,2941
3002,Mulegé,6,25 to 29 years,2,Female,2429
